,Date,MaxT,MinT,WindSpeed,Humidity ,Precipitation
1,2006-01-08 00:00:00,29.47,21.76,1.58,70.21,0
2,2006-01-09 00:00:00,30.11,20.96,1.59,67.42,0
3,2006-01-10 00:00:00,29.85,21.08,1.65,65.15,0
4,2006-01-11 00:00:00,29.8,20.76,1.51,68.99,0
5,2006-01-12 00:00:00,29.63,20.53,2.1,69.49,0
6,2006-01-13 00:00:00,29.69,19.79,2.14,62.57,0
7,2006-01-14 00:00:00,29.73,19.69,2.1,62.49,0
8,2006-01-15 00:00:00,29.42,19.88,1.78,67.27,0
9,2006-01-16 00:00:00,30.33,19.88,1.27,66.42,0
10,2006-01-17 00:00:00,30.98,20.66,1.26,67.68,0
11,2006-01-18 00:00:00,31.54,20.56,1.37,68.89,0
12,2006-01-19 00:00:00,32.12,20.38,1.63,61.18,0
13,2006-01-20 00:00:00,33.87,20.9,1.65,58.26,0
14,2006-01-21 00:00:00,32.74,20.99,1.41,57.25,0
15,2006-01-22 00:00:00,33.2,20.38,1.97,61.07,0
16,2006-01-23 00:00:00,32.96,21.08,2.46,49.18,0
17,2006-01-24 00:00:00,31.38,20.93,2.28,52.63,0
18,2006-01-25 00:00:00,29.01,20.22,2.49,57.06,0
19,2006-01-26 00:00:00,27,19.63,1.81,56.26,0
20,2006-01-27 00:00:00,29.29,18.12,2.29,57.83,0
21,2006-01-28 00:00:00,29.29,16.79,2.05,56.63,0
22,2006-01-29 00:00:00,29.83,17.65,1.88,55.92,0
23,2006-01-30 00:00:00,29.71,18.5,1.95,53.34,0
24,2006-01-31 00:00:00,30.47,19.94,1.86,61.24,0
25,2006-02-01 00:00:00,30.34,19.48,1.78,65.91,0
26,2006-02-02 00:00:00,30.17,19.87,1.97,62.88,0
27,2006-02-03 00:00:00,31.11,19.18,2.72,63.11,0
28,2006-02-04 00:00:00,31.97,19.99,1.87,55.88,0
29,2006-02-05 00:00:00,32.09,19.31,1.79,55.4,0
30,2006-02-06 00:00:00,30.97,20.14,1.9,60.41,0
31,2006-02-07 00:00:00,30.94,19.82,1.82,51.2,0
32,2006-02-08 00:00:00,30.22,19.74,1.8,53.74,0
33,2006-02-09 00:00:00,29.58,19.85,2.03,55.11,0
34,2006-02-10 00:00:00,31.21,19.64,2.24,53.01,0
35,2006-02-11 00:00:00,32.2,20.13,2.12,57.28,0
36,2006-02-12 00:00:00,31.28,19.76,1.77,57.32,0
37,2006-02-13 00:00:00,31.82,19.7,1.69,54.57,0
38,2006-02-14 00:00:00,34.13,20.61,1.73,52.85,0
39,2006-02-15 00:00:00,33.5,20.92,1.33,56.21,0
40,2006-02-16 00:00:00,33.42,20.44,1.84,55.12,0
41,2006-02-17 00:00:00,32.83,21.75,1.87,58.85,0
42,2006-02-18 00:00:00,33.06,22.58,1.94,57.43,0
43,2006-02-19 00:00:00,33.93,22.42,1.68,54.02,0
44,2006-02-20 00:00:00,33.88,22.53,2.04,59.86,0
45,2006-02-21 00:00:00,34.15,21.76,1.77,58.24,0
46,2006-02-22 00:00:00,34.68,21.87,1.68,53.26,0
47,2006-02-23 00:00:00,34.92,21.35,2,50.85,0
48,2006-02-24 00:00:00,35.27,20.96,1.98,45.65,0
49,2006-02-25 00:00:00,35.25,20.79,1.8,45.36,0
50,2006-02-26 00:00:00,35.59,21.62,2.13,49.73,0
51,2006-02-27 00:00:00,34.83,21.41,2.62,52.34,0
52,2006-02-28 00:00:00,34.57,22.55,2.51,56,0
53,2006-03-01 00:00:00,33.64,23.52,2.46,56.2,0
54,2006-03-02 00:00:00,33.09,22.76,2.83,65.96,0
55,2006-03-03 00:00:00,32.07,24.3,2.76,71.34,4.8
56,2006-03-04 00:00:00,33.05,25.28,2.25,71.68,0
57,2006-03-05 00:00:00,32.85,24.57,2.29,69.64,4.8
58,2006-03-06 00:00:00,33.72,24.13,2.22,67.02,0
59,2006-03-07 00:00:00,33.26,24,2.16,65.47,0
60,2006-03-08 00:00:00,33.03,24.11,2.23,64.3,0
61,2006-03-09 00:00:00,32.68,24.18,3.16,63.49,0
62,2006-03-10 00:00:00,32.49,23.8,2.59,66.29,0
63,2006-03-11 00:00:00,30.77,22.67,2.05,76.2,0
64,2006-03-12 00:00:00,32.5,23.4,1.74,64.77,0
65,2006-03-13 00:00:00,32.75,23.76,2.29,61.5,0
66,2006-03-14 00:00:00,33.28,24.31,2.59,63.21,0
67,2006-03-15 00:00:00,33.73,25.32,2.35,70.15,0
68,2006-03-16 00:00:00,33.33,24.76,2.42,59.57,0
69,2006-03-17 00:00:00,32.7,24.2,2.29,60.08,0
70,2006-03-18 00:00:00,33.79,23.55,2.97,56.66,0
